"dep_sdt_30min_formatted","cnt","partition_0"
"00:30","332","Africa"
"00:00","1137","Asia"
"08:00","1435","Asia"
"09:00","499","Asia"
"10:00","1578","Asia"
"10:30","715","Asia"
"11:30","224","Asia"
"12:00","191","Asia"
"13:00","104","Asia"
"13:30","26","Asia"
"14:00","1151","Asia"
"16:30","244","Asia"
"17:00","75","Asia"
"18:00","666","Asia"
"18:30","354","Asia"
"19:00","318","Asia"
"19:30","991","Asia"
"07:30","1841","China"
"08:00","9262","China"
"08:30","10303","China"
"09:00","3816","China"
"10:00","1180","China"
"10:30","2202","China"
"11:00","2101","China"
"12:00","9121","China"
"12:30","7523","China"
"13:00","6849","China"
"14:00","11861","China"
"14:30","4255","China"
"15:00","1957","China"
"15:30","6408","China"
"16:00","877","China"
"16:30","10596","China"
"17:30","2468","China"
"18:00","955","China"
"18:30","3046","China"
"19:30","26","China"
"20:00","1140","China"
"20:30","82","China"
"21:00","573","China"
"21:30","1577","China"
"22:00","73","China"
"22:30","4654","China"
"23:30","5175","China"
"08:00","113","Europe"
"09:30","618","Europe"
"10:00","806","Europe"
"10:30","3029","Europe"
"11:00","1286","Europe"
"11:30","816","Europe"
"12:00","924","Europe"
"12:30","120","Europe"
"13:00","354","Europe"
"13:30","518","Europe"
"21:30","174","Europe"
"23:00","1004","Europe"
"06:00","2186","Japan"
"06:30","137","Japan"
"07:00","9188","Japan"
"07:30","17802","Japan"
"08:00","14709","Japan"
"08:30","15111","Japan"
"09:00","11171","Japan"
"09:30","9678","Japan"
"10:00","14196","Japan"
"10:30","6096","Japan"
"11:00","2440","Japan"
"11:30","2449","Japan"
"12:00","8161","Japan"
"12:30","9755","Japan"
"13:00","14346","Japan"
"13:30","9251","Japan"
"14:00","11187","Japan"
"14:30","8790","Japan"
"15:00","15058","Japan"
"15:30","15317","Japan"
"16:00","15866","Japan"
"16:30","179","Japan"
"17:00","7746","Japan"
"17:30","40","Japan"
"18:00","7570","Japan"
"18:30","11063","Japan"
"19:00","13400","Japan"
"19:30","50","Japan"
"20:30","3360","Japan"
"21:00","3798","Japan"
"22:30","26","Japan"
"00:30","796","MiddleEast"
"01:00","590","MiddleEast"
"13:00","1181","MiddleEast"
"16:30","99","MiddleEast"
"18:00","2025","MiddleEast"
"18:30","28","MiddleEast"
"23:00","270","MiddleEast"
"23:30","840","MiddleEast"
"08:30","938","Oceania"
"09:30","2574","Oceania"
"10:30","904","Oceania"
"17:30","36","Oceania"
"18:30","537","Oceania"
"20:00","1467","Oceania"
"20:30","499","Oceania"
"21:30","100","Oceania"
"22:00","954","Oceania"
"00:30","1599","SouthEastAsia"
"01:00","878","SouthEastAsia"
"01:30","3114","SouthEastAsia"
"02:00","852","SouthEastAsia"
"06:00","6272","SouthEastAsia"
"06:30","6763","SouthEastAsia"
"07:00","1837","SouthEastAsia"
"07:30","9023","SouthEastAsia"
"08:00","8516","SouthEastAsia"
"08:30","1936","SouthEastAsia"
"09:00","15679","SouthEastAsia"
"09:30","13604","SouthEastAsia"
"10:00","14821","SouthEastAsia"
"10:30","7450","SouthEastAsia"
"11:00","8311","SouthEastAsia"
"11:30","1941","SouthEastAsia"
"12:00","2656","SouthEastAsia"
"12:30","5380","SouthEastAsia"
"13:00","2634","SouthEastAsia"
"13:30","2127","SouthEastAsia"
"14:00","4722","SouthEastAsia"
"14:30","6758","SouthEastAsia"
"15:00","2816","SouthEastAsia"
"15:30","690","SouthEastAsia"
"16:00","5918","SouthEastAsia"
"16:30","3070","SouthEastAsia"
"17:00","3592","SouthEastAsia"
"17:30","8921","SouthEastAsia"
"18:00","9861","SouthEastAsia"
"18:30","10390","SouthEastAsia"
"19:00","8451","SouthEastAsia"
"19:30","25601","SouthEastAsia"
"20:00","16145","SouthEastAsia"
"20:30","20579","SouthEastAsia"
"21:00","8761","SouthEastAsia"
"21:30","11415","SouthEastAsia"
"22:00","8785","SouthEastAsia"
"22:30","7046","SouthEastAsia"
"23:30","3507","SouthEastAsia"
"09:00","1270","USA"
"09:30","1229","USA"
"10:00","1647","USA"
"10:30","331","USA"
"11:30","1684","USA"
"12:30","953","USA"
"14:30","2787","USA"
"16:00","2631","USA"
"16:30","2914","USA"
"17:30","246","USA"
"18:00","1140","USA"
"18:30","1731","USA"
"19:00","1521","USA"
"19:30","2889","USA"
"20:00","1102","USA"
"20:30","2543","USA"
"21:00","1968","USA"
"21:30","64","USA"
"22:30","34","USA"
