"dep_sdt_30min_formatted","flight_count"
"00:00","1137"
"00:30","2727"
"01:00","1468"
"01:30","3114"
"02:00","852"
"06:00","8458"
"06:30","6900"
"07:00","11025"
"07:30","28666"
"08:00","34035"
"08:30","28288"
"09:00","32435"
"09:30","27703"
"10:00","34228"
"10:30","20727"
"11:00","14138"
"11:30","7114"
"12:00","21053"
"12:30","23731"
"13:00","25468"
"13:30","11922"
"14:00","28921"
"14:30","22590"
"15:00","19831"
"15:30","22415"
"16:00","25292"
"16:30","17102"
"17:00","11413"
"17:30","11711"
"18:00","22217"
"18:30","27149"
"19:00","23690"
"19:30","29557"
"20:00","19854"
"20:30","27063"
"21:00","15100"
"21:30","13330"
"22:00","9812"
"22:30","11760"
"23:00","1274"
"23:30","9522"
